CODEBUCH,
"Im Codebuch definieren Sie, wie und nach welchen Kriterien die Daten erfasst werden.",
Achtung: das Codebuch wird immer als eigene Datei in Github gesetzt. Beispiel siehe hier.,
Wert,Kommentar
edgelist,Grundregel: Die Edgelist darf pro Spalte immer nur einen Wert enthalten. Bis auf die ID idealerweise numerisch codiert (als Zahl).
from,mit ID
to ,zu ID
relationship,"zwischen movie und director oder composer = 1, zwischen composer und director = 2 (2 ist wichtiger für unsere Forschung)"
year,"Erscheinungsjahr des Films, wie in der Nodelist"
,
,
nodelist,Grundregel: die IDs der Nodelist müssen mit den IDs der Edgelist komplett übereinstimmen. Ausprägungen der Attribute in der Regel numerisch definieren.
year,"Erscheinungsjahr des Films nach Zahl, zB ""2001"""
id,"erste zwei Buchstaben des Namens und dann nach Kategorie: 100= movie, 200=director, 300=composer, zB stsp200 für Steven Spielberg"
name,"Name des Knotens, alle Namen ausschreiben"
sex,"m steht für male, f für female, d für diverse"
oscar,gewonnene Oscars: yes oder no
oscar nom.,nominiert yes oder no
type,"Definiert den Typ des Knotens: ""movie"", ""director"" oder ""composer"""
genre,"als Texteintrag eintragen zb ""Thriller"", ""Horror"", ""Drama"" etc. (Sind bei imcb mehrere Genres zugeordnet zählt nur das erstgenannte)"
99,"definiert fehlende Werte, bei der Datenerhebung, zB bei sex oder birthyear eines Films einfach 99 in die Spalte schreiben"
studio,"als Texteintrag eintragen je nach Name des Produktionsstudios hinter dem Film ""20th Century Fox"", ""Universial"", ""Columbia"""
birthyear,"Geburtsjahr von composer oder director ""1975"", ""1940"""
nationality,"Nationalität von composer oder director ""USA"", ""Germany"", bei 2 Nationalitäten den Geburtstort nehmen"
,
Sonderfälle,
Spezielfall:,"ein Film hat 2 composer, dann beide erheben, zwei Mal relationships 1 zu dem Film"
Spezialfall,
,
Bearbeitungshinweise,
"Achten Sie bitte auf die Kommentare in den Spalten. Diese erklären genauer, welche Daten erfasst werden. ",
"Sie sehen die Kommentare, wenn Sie auf die entsprechende Spalte gehen. ",
"Skizzieren Sie zunächst Ihr Netzwerk bzw. die Daten, die für Sie relevant sind. ",
Welche Informationen wollen Sie erheben? Wie müssen diese erfasst sein?,
"Legen Sie bitte im Codebuch möglichst genau fest, wie die Daten erhoben werden (Codebuch)",
"Bitte verwenden Sie keine Sonderzeichen in der Erfassung, dazu gehören Satzzeichen, Umlaute, etc.",
"Verpflichten Sie alle Teammitglieder darauf, das Codebuch zwingend einzuhalten. ",
Wer seine Daten nicht sauber erstellt muss diese nachbereinigen.,
"Dokumentieren Sie jeden Schritt Ihrer Datenerfassung mit, um dies zu rekonstruieren.",
Nutzen Sie das Skript zur Datenbereinigung auf dem letzten Reiter!,
"Beispiel für die Dokumentation von Codebuch, Edge- und Nodelist",
https://github.com/hdm-crpr/226305/tree/master/data/crpr2,
Vergeben Sie stets eindeutige Spaltenbeschriftungen. Am besten immer nur ein Begriff ohne Sonderzeichen etc.,
